,fpr,tpr,ppv,acc,npv,LR+,LR-,threshold,tpr_upper,ppv_upper,acc_upper,npv_upper,LR+_upper,LR-_upper,threshold_upper,tpr_lower,ppv_lower,acc_lower,npv_lower,LR+_lower,LR-_lower,threshold_lower,AUC,AUC_upper,AUC_lower,n_pos,n_neg,n_total,prevalence_in_data,prevalence_preset,prevalence
0,0.0,0.0,0.5740939637666974,0.9735995149027473,0.9735995149027472,26.69083520957084,1.0,inf,0.0,0.6728094502349854,0.9735995149027473,0.9735995149027472,40.43089064741369,1.0,0.056990298819165994,0.0,0.4753784772984095,0.9735995149027473,0.9735995149027472,12.950779771727985,1.0,0.056990298819165994,0.8628992932862191,0.8834939190593372,0.842304667513101,566,20873,21439,0.02640048509725267,0,0.02640048509725267
10,0.01,0.19390459363957596,0.3424022785640052,0.9684920005597276,0.9783898213611096,19.390459363957596,0.8142377842024485,0.08373840545429191,0.22647529776675257,0.3804669174232493,0.9698425774773068,0.9792525249590933,22.647529776675256,0.7813380830638863,0.08373840545429191,0.16133388951239935,0.3043376397047611,0.9681228126994738,0.9775445371769916,16.133388951239937,0.8471374853410107,0.08373840545429191,0.8628992932862191,0.8834939190593372,0.842304667513101,566,20873,21439,0.02640048509725267,0,0.02640048509725267
20,0.02,0.27536597677940433,0.27756385429051667,0.9616253423333977,0.9803493682954499,13.768298838970217,0.7394224726740772,0.0647150557223874,0.3121665323996832,0.2973783898425555,0.9623688724911713,0.9813232682048041,15.608326619984162,0.7018708853064457,0.0647150557223874,0.23856542115912543,0.25774931873847784,0.9604257674507237,0.9793660151484629,11.928271057956271,0.7769740600417087,0.0647150557223874,0.8628992932862191,0.8834939190593372,0.842304667513101,566,20873,21439,0.02640048509725267,0,0.02640048509725267
30,0.03,0.357773851590106,0.24381146571438378,0.9536242362050469,0.982359547441689,11.925795053003533,0.6620888127937052,0.05084616924279923,0.39726394541758164,0.26420735222481995,0.9548794903263375,0.9834297021182363,13.24213151391939,0.6213773758581632,0.05084616924279923,0.31828375776263035,0.22341557920394758,0.9527943750591747,0.9812990003686453,10.609458592087678,0.7028002497292472,0.05084616924279923,0.8628992932862191,0.8834939190593372,0.842304667513101,566,20873,21439,0.02640048509725267,0,0.02640048509725267
40,0.04,0.41668931774938844,0.21989968142844207,0.9456490149153053,0.9837970851759504,10.41723294373471,0.6076152940110537,0.042262285921906714,0.4573052123916552,0.2366478867068789,0.9467286137512793,0.9849023569873383,11.43263030979138,0.5653070704253592,0.042262285921906714,0.37607342310712166,0.20315147615000526,0.9445840551088498,0.9826816443439422,9.40183557767804,0.6499235175967483,0.042262285921906714,0.8628992932862191,0.8834939190593372,0.842304667513101,566,20873,21439,0.02640048509725267,0,0.02640048509725267
50,0.05,0.47173144876325085,0.20346447062434,0.9374154578105323,0.9851473006847923,9.434628975265017,0.556072159196578,0.03570892615165819,0.5128572781117794,0.21761098745655844,0.9384592200854175,0.9862859098498294,10.257145562235587,0.5127818125139164,0.03570892615165819,0.4306056194147223,0.18931795379212157,0.9362877363957616,0.9840073848179948,8.612112388294445,0.5993625058792397,0.03570892615165819,0.8628992932862191,0.8834939190593372,0.842304667513101,566,20873,21439,0.02640048509725267,0,0.02640048509725267
60,0.06,0.5064782096584217,0.18607574170719346,0.9285336691698929,0.9859641252659037,8.441303494307029,0.525023181214445,0.031711058302733686,0.5476664676575049,0.19840457724979896,0.9296422044262395,0.9871195147032893,9.127774460958415,0.48120588547073945,0.031711058302733686,0.4652899516593385,0.17374690616458796,0.9274674244432662,0.9848094238629415,7.754832527655642,0.5688404769581505,0.031711058302733686,0.8628992932862191,0.8834939190593372,0.842304667513101,566,20873,21439,0.02640048509725267,0,0.02640048509725267
70,0.07,0.535924617196702,0.17177060593958193,0.9195935755709999,0.986655473296892,7.656065959952885,0.49900578796053546,0.02850806833717599,0.5770098729166768,0.1826861490724894,0.9206808894104593,0.9878169697401925,8.242998184523953,0.45482809363798193,0.02850806833717599,0.4948393614767272,0.1608550628066745,0.9185115480477553,0.9854846346863102,7.069133735381817,0.543183482283089,0.02850806833717599,0.8628992932862191,0.8834939190593372,0.842304667513101,566,20873,21439,0.02640048509725267,0,0.02640048509725267
80,0.08,0.5646914922533297,0.16054135545792997,0.9099771444563646,0.9873248794209951,7.058643653166621,0.47316142146377205,0.025454310925806183,0.6055369789534157,0.17029631804517592,0.9116980236992226,0.9885070949690451,7.569212236917696,0.42876415331150464,0.025454310925806183,0.5238460055532437,0.15078639287068402,0.9095413423733913,0.9861599228297335,6.548075069415546,0.5175586896160395,0.025454310925806183,0.8628992932862191,0.8834939190593372,0.842304667513101,566,20873,21439,0.02640048509725267,0,0.02640048509725267
90,0.09,0.5861798193953671,0.15001031164470957,0.9009074842835746,0.9878121766461315,6.513109104392969,0.45474745121388227,0.02332076165606287,0.6267550633597645,0.1588417332221376,0.9025221962713572,0.9890003081814913,6.963945148441828,0.4101592710332258,0.02332076165606287,0.5456045754309697,0.14117889006728157,0.9003797840241583,0.9866407170119287,6.062273060344109,0.49933563139453874,0.02332076165606287,0.8628992932862191,0.8834939190593372,0.842304667513101,566,20873,21439,0.02640048509725267,0,0.02640048509725267
100,0.1,0.6046643109540636,0.14079051610137136,0.8919949624516069,0.9882355367156629,6.046643109540636,0.4392618767177071,0.021789146700746605,0.6449434384495651,0.14885304889546822,0.8932663830478312,0.989415621677413,6.449434384495651,0.3945072906115943,0.021789146700746605,0.564385183458562,0.1327279833072745,0.8911396060374805,0.987045258300843,5.64385183458562,0.48401646282381994,0.021789146700746605,0.8628992932862191,0.8834939190593372,0.842304667513101,566,20873,21439,0.02640048509725267,0,0.02640048509725267
110,0.11,0.62339222614841,0.13314090469029966,0.882955361723961,0.9886813791857694,5.667202055894636,0.42315480208043826,0.020649021849208866,0.663309898280791,0.14053473541350409,0.8840152713478673,0.9898459450667746,6.030089984370828,0.3783034850777629,0.020649021849208866,0.5834745540160289,0.12574707396709522,0.8819075795313714,0.9874684064936332,5.304314127418444,0.4680061190831136,0.020649021849208866,0.8628992932862191,0.8834939190593372,0.842304667513101,566,20873,21439,0.02640048509725267,0,0.02640048509725267
120,0.12,0.6421201413427562,0.12666057501785713,0.8739157609963151,0.9891272216558759,5.351001177856302,0.4066816575650498,0.019508896997671128,0.6816128253489575,0.1334668065061052,0.874762482352139,0.9902845160306929,5.6801068779079795,0.36180360755800284,0.019508896997671128,0.6026274573365549,0.11985434352960905,0.8726772303210266,0.9879034577485949,5.021895477804624,0.45155970757209674,0.019508896997671128,0.8628992932862191,0.8834939190593372,0.842304667513101,566,20873,21439,0.02640048509725267,0,0.02640048509725267
130,0.13,0.6608480565371024,0.12110045272232373,0.8648761602686692,0.9895730641259823,5.083446588746941,0.38982982007229605,0.01836877214613339,0.6998501428458506,0.1273843969935691,0.8655079612319022,0.9907315641991755,5.383462637275773,0.34499983580936716,0.01836877214613339,0.6218459702283543,0.11481650845107834,0.8634486132351905,0.9883509045889619,4.78343054021811,0.43465980433522494,0.01836877214613339,0.8628992932862191,0.8834939190593372,0.842304667513101,566,20873,21439,0.02640048509725267,0,0.02640048509725267
140,0.14,0.6795759717314488,0.11627751860058574,0.8558365595410233,0.9900189065960888,4.854114083796063,0.3725860793820363,0.017228647294595646,0.7180193390102446,0.12209236097236169,0.8562516416754419,0.9911873166200503,5.12870956435889,0.3278844895229714,0.017228647294595646,0.641132604452653,0.11046267622880979,0.8542217945855778,0.9888112770438278,4.579518603233235,0.4172876692411012,0.017228647294595646,0.8628992932862191,0.8834939190593372,0.842304667513101,566,20873,21439,0.02640048509725267,0,0.02640048509725267
150,0.15,0.6974381625441697,0.11193080323863121,0.8458275306017737,0.9904481533713904,4.649587750294465,0.35595510288921217,0.01622658180910379,0.7352824039068999,0.11732612917289631,0.8469713998139514,0.9916258013102064,4.901882692712666,0.31143246599188246,0.01622658180910379,0.6595939211814394,0.1065354773043661,0.8449731871537243,0.9892571591681613,4.397292807876263,0.40047773978654183,0.01622658180910379,0.8628992932862191,0.8834939190593372,0.842304667513101,566,20873,21439,0.02640048509725267,0,0.02640048509725267
160,0.16,0.7106890459363958,0.10746950604261812,0.8366569935964497,0.9907716359578657,4.441806537102474,0.34441780245667164,0.015590600659965365,0.7480451971710764,0.11251270335748806,0.8375723485982941,0.9919321672298481,4.675282482319227,0.29994619384395665,0.015590600659965365,0.6733328947017152,0.1024263087277482,0.8355999075703704,0.9895647729525707,4.20833059188572,0.3888894110693867,0.015590600659965365,0.8628992932862191,0.8834939190593372,0.842304667513101,566,20873,21439,0.02640048509725267,0,0.02640048509725267
170,0.17,0.723939929328622,0.10349545779864155,0.8274864565911256,0.991095118544341,4.258470172521305,0.33260249478479287,0.01495461951082694,0.7607691847138219,0.10821683303918733,0.8281722728927666,0.992244863516137,4.475112851257776,0.2882298979351543,0.01495461951082694,0.687110673943422,0.09877408255809576,0.8262276524768868,0.9898812397252058,4.041827493784835,0.3769750916344314,0.01495461951082694,0.8628992932862191,0.8834939190593372,0.842304667513101,566,20873,21439,0.02640048509725267,0,0.02640048509725267
180,0.18,0.7371908127208481,0.0999329657778951,0.8183159195858015,0.9914186011308164,4.095504515115823,0.32049900887701455,0.014318638361688514,0.7734526749979074,0.10435832336754462,0.8187711280399653,0.9925640716740316,4.29695930554393,0.27627722561230805,0.014318638361688514,0.7009289504437888,0.09550760818824555,0.816856466530677,0.9902069482393007,3.8940497246877155,0.364720792141721,0.014318638361688514,0.8628992932862191,0.8834939190593372,0.842304667513101,566,20873,21439,0.02640048509725267,0,0.02640048509725267
190,0.19,0.7504416961130742,0.09672124398360388,0.8091453825804775,0.9917420837172917,3.949693137437233,0.3080966714653405,0.01368265721255009,0.7860937345651003,0.10087266464432959,0.809368862995655,0.9928899743068329,4.137335445079476,0.26408180917888846,0.01368265721255009,0.7147896576610481,0.09256982332287818,0.8074864007759762,0.9905423150685793,3.76205082979499,0.3521115337517925,0.01368265721255009,0.8628992932862191,0.8834939190593372,0.842304667513101,566,20873,21439,0.02640048509725267,0,0.02640048509725267
200,0.2,0.7636925795053003,0.09381091563822641,0.7999748455751534,0.992065566303767,3.8184628975265014,0.29538427561837455,0.013046676063411663,0.798690145451824,0.09770736491003332,0.7999654192045214,0.9932227537429394,3.99345072725912,0.25163731818521995,0.013046676063411663,0.7286950135587766,0.0899144663664195,0.7981175137680987,0.9908877878371778,3.643475067793883,0.3391312330515292,0.013046676063411663,0.8628992932862191,0.8834939190593372,0.842304667513101,566,20873,21439,0.02640048509725267,0,0.02640048509725267
210,0.21,0.7748331370239497,0.0909362187432814,0.789988131701831,0.9923367358972901,3.6896816048759513,0.28502134553930414,0.012532910679059624,0.8092440509232511,0.09460811239821944,0.7905080522796101,0.993494985970808,3.8535430996345292,0.24146322667942893,0.012532910679059624,0.7404222231246483,0.08726432508834334,0.7886911226404474,0.9911688024596078,3.525820110117373,0.3285794643991793,0.012532910679059624,0.8628992932862191,0.8834939190593372,0.842304667513101,566,20873,21439,0.02640048509725267,0,0.02640048509725267
220,0.22,0.7851590106007067,0.08822339553936497,0.7798964503941416,0.9925899789400804,3.568904593639576,0.2754371658965299,0.012075520199727565,0.8189948735219859,0.09169041870307547,0.7810294835772864,0.9937467820484542,3.7227039705544813,0.2320578544589925,0.012075520199727565,0.7513231476794275,0.08475637237565446,0.7792429171876746,0.9914289522577219,3.4151052167246707,0.31881647733406726,0.012075520199727565,0.8628992932862191,0.8834939190593372,0.842304667513101,566,20873,21439,0.02640048509725267,0,0.02640048509725267
230,0.23,0.7934040047114252,0.08552701818095494,0.7704432731626164,0.9927972655230463,3.4495826291801093,0.2683064873877594,0.011751331320455895,0.8267580119706521,0.0888154427365957,0.7714984390491809,0.9939360940939752,3.5946000520463133,0.2249895948433089,0.011751331320455895,0.7600499974521984,0.08223859362531419,0.7697373151060192,0.9916207107848349,3.3045652063139057,0.3116233799322099,0.011751331320455895,0.8628992932862191,0.8834939190593372,0.842304667513101,566,20873,21439,0.02640048509725267,0,0.02640048509725267
240,0.24,0.8016489988221437,0.0830412354515907,0.7609900959310913,0.9930045521060122,3.3402041617589324,0.2609881594445478,0.011427142441184222,0.8345000447307273,0.08616202224107618,0.7619668373206582,0.994129718826972,3.4770835197113636,0.21776309903851676,0.011427142441184222,0.7687979529135601,0.07992044866210524,0.7602322702247808,0.9918183335031916,3.2033248038065008,0.3042132198505788,0.011427142441184222,0.8628992932862191,0.8834939190593372,0.842304667513101,566,20873,21439,0.02640048509725267,0,0.02640048509725267
250,0.25,0.8098939929328622,0.08074230218575967,0.7515369186995662,0.9932118386889782,3.239575971731449,0.253474676089517,0.01110295356191255,0.8422199866646183,0.08370517816275577,0.7524346523836081,0.9943277957218287,3.368879946658473,0.21037335111384228,0.01110295356191255,0.7775679992011062,0.07777942620876356,0.7507278085520699,0.9920220941294876,3.110271996804425,0.2965760010651917,0.01110295356191255,0.8628992932862191,0.8834939190593372,0.842304667513101,566,20873,21439,0.02640048509725267,0,0.02640048509725267
260,0.26,0.8181389870435807,0.07860991374529556,0.742083741468041,0.9934191252719442,3.146688411706079,0.2457581256167829,0.010778764682640878,0.8499167427953882,0.08142352733715787,0.7429018553301082,0.994530467877377,3.2689105492130315,0.2028152124386646,0.010778764682640878,0.7863612312917732,0.07579630015343326,0.7412239589958087,0.9922322854306619,3.0244662741991273,0.28870103879490117,0.010778764682640878,0.8628992932862191,0.8834939190593372,0.842304667513101,566,20873,21439,0.02640048509725267,0,0.02640048509725267
270,0.27,0.8263839811542992,0.07662660465522148,0.732630564236516,0.9936264118549102,3.0606814116825896,0.23783016280232983,0.010454575803369205,0.8575890911030865,0.07929865470657123,0.733368413898239,0.994737881629622,3.1762558929743943,0.19508343684508705,0.010454575803369205,0.795178871205512,0.07395455460387174,0.7317207538179168,0.9924492211881958,2.945106930390785,0.2805768887595726,0.010454575803369205,0.8628992932862191,0.8834939190593372,0.842304667513101,566,20873,21439,0.02640048509725267,0,0.02640048509725267
280,0.28,0.8346289752650177,0.07477726911453786,0.7231773870049908,0.9938336984378761,2.980817768803634,0.2296819787985866,0.010130386924097533,0.8652356616199404,0.07731461200970119,0.7238342919201868,0.9949501859924308,3.0901273629283583,0.18717269219452728,0.010130386924097533,0.804022288910095,0.07223992621937453,0.722218229186208,0.9926732384679242,2.8715081746789104,0.2721912654026459,0.010130386924097533,0.8628992932862191,0.8834939190593372,0.842304667513101,566,20873,21439,0.02640048509725267,0,0.02640048509725267
290,0.29,0.8428739693757362,0.0730487755068552,0.7137242097734657,0.994040985020842,2.906461963364608,0.22130426848487858,0.00980619804482586,0.872854910801243,0.07545751403042994,0.7142994486456227,0.9951675318699512,3.0098445200042865,0.17907759042078453,0.00980619804482586,0.8128930279502294,0.07064003698328049,0.7127164258510112,0.9929047002649615,2.803079406724929,0.26353094654897263,0.00980619804482586,0.8628992932862191,0.8834939190593372,0.842304667513101,566,20873,21439,0.02640048509725267,0,0.02640048509725267
300,0.3,0.8501351070463521,0.07135293850153479,0.7039315376320778,0.9942293831728527,2.8337836901545073,0.21409270421949703,0.009557606547801809,0.8795409616053844,0.0736450874737662,0.7047399684812093,0.9953553705231312,2.9318032053512817,0.17208434056373656,0.009557606547801809,0.8207292524873198,0.06906078952930336,0.703187310831094,0.9931033624916944,2.735764174957733,0.2561010678752575,0.009557606547801809,0.8628992932862191,0.8834939190593372,0.842304667513101,566,20873,21439,0.02640048509725267,0,0.02640048509725267
310,0.31,0.8569787985865724,0.06972925131022567,0.6941088670180512,0.9944095374844713,2.76444773737604,0.2072771034977211,0.009335624778803621,0.8858207821651504,0.07191254081895171,0.6951697636412834,0.9955329053932009,2.85748639408113,0.16547712729688355,0.009335624778803621,0.8281368150079945,0.06754596180149965,0.6936468789260004,0.9932912450174347,2.67140908067095,0.2490770796985587,0.009335624778803621,0.8628992932862191,0.8834939190593372,0.842304667513101,566,20873,21439,0.02640048509725267,0,0.02640048509725267
320,0.32,0.8631625441696112,0.06815328515202053,0.6847800736974673,0.9945746716034445,2.6973829505300353,0.2012315526917482,0.009140141018942161,0.8914757250905834,0.07023661017416884,0.6855830617286846,0.9956910234558177,2.785861640908073,0.15959452192561271,0.009140141018942161,0.8348493632486391,0.06606996012987222,0.6840880983067646,0.9934573733957092,2.608904260151997,0.24286858345788367,0.009140141018942161,0.8628992932862191,0.8834939190593372,0.842304667513101,566,20873,21439,0.02640048509725267,0,0.02640048509725267
