,fpr,tpr,ppv,acc,npv,LR+,LR-,threshold,tpr_upper,ppv_upper,acc_upper,npv_upper,LR+_upper,LR-_upper,threshold_upper,tpr_lower,ppv_lower,acc_lower,npv_lower,LR+_lower,LR-_lower,threshold_lower,AUC,AUC_upper,AUC_lower,n_pos,n_neg,n_total,prevalence_in_data,prevalence_preset,prevalence
0,0.0,0.0,0.2811244231936604,0.9967619200522261,0.9967619200522262,99.90738058886771,1.0,inf,0.0,0.291390431986392,0.9967619200522261,0.9967619200522262,108.04822245946704,1.0,0.010764609671787651,0.0,0.27085841440092884,0.9967619200522261,0.9967619200522262,91.76653871826838,1.0,0.010764609671787651,0.8445670661631917,0.8497582600812804,0.8393758722451028,12182,3749924,3762106,0.003238079947773933,0,0.003238079947773933
10,0.01,0.280468450719641,0.08349943595559273,0.9873789662846643,0.9976437426945586,28.0468450719641,0.7267995447276354,0.013818785021503232,0.2884457469915978,0.08567621763828003,0.987728311241058,0.9976705354822651,28.84457469915978,0.7187416697054568,0.013818785021503232,0.2724911544476842,0.08132265427290544,0.9876766489948666,0.9976184282193422,27.249115444768417,0.7348574197498139,0.013818785021503232,0.8445670661631917,0.8497582600812804,0.8393758722451028,12182,3749924,3762106,0.003238079947773933,0,0.003238079947773933
20,0.02,0.360942373994418,0.05537936887084068,0.9774995707191664,0.9978850383283373,18.047118699720897,0.6520996183730429,0.010495075868629262,0.36947097386674055,0.05661548132664059,0.978023058202944,0.9979142207193532,18.473548693337026,0.6433969654421015,0.010495075868629262,0.3524137741220954,0.05414325641504077,0.9779678256264857,0.9978579166599738,17.62068870610477,0.6608022713039843,0.010495075868629262,0.8445670661631917,0.8497582600812804,0.8393758722451028,12182,3749924,3762106,0.003238079947773933,0,0.003238079947773933
30,0.03,0.41334208942155093,0.04284106281138641,0.9675528369836824,0.9980377995971204,13.778069647385031,0.6048019696685042,0.009122803460315508,0.42208661141207465,0.04370858124068377,0.9682258126432965,0.9980682656700017,14.069553713735822,0.5957869985442529,0.009122803460315508,0.4045975674310272,0.04197354438208905,0.9681691817206758,0.9980099230979255,13.486585581034241,0.6138169407927555,0.009122803460315508,0.8445670661631917,0.8497582600812804,0.8393758722451028,12182,3749924,3762106,0.003238079947773933,0,0.003238079947773933
40,0.04,0.4543354363580927,0.03558530680333122,0.9580919000459545,0.9981564675797102,11.358385908952318,0.5684005871269868,0.008396602828632386,0.4631772218535741,0.03625319465020388,0.9583912481244866,0.9981867085484643,11.579430546339351,0.559190393902527,0.008396602828632386,0.44549365086261133,0.034917418956458564,0.9583339873078558,0.9981270884771322,11.137341271565283,0.5776107803514466,0.008396602828632386,0.8445670661631917,0.8497582600812804,0.8393758722451028,12182,3749924,3762106,0.003238079947773933,0,0.003238079947773933
50,0.05,0.49082662945329175,0.03090413496900326,0.9476668121525551,0.9982603592443469,9.816532589065833,0.535971968996535,0.00785867131514362,0.4997040274952721,0.031445817915694056,0.948541905640869,0.9982921207030687,9.99408054990544,0.526627339478661,0.00785867131514362,0.4819492314113114,0.030362452022312466,0.9484844141916927,0.9982316176657205,9.638984628226227,0.5453165985144091,0.00785867131514362,0.8445670661631917,0.8497582600812804,0.8393758722451028,12182,3749924,3762106,0.003238079947773933,0,0.003238079947773933
60,0.06,0.5176900344770974,0.027265014988748983,0.9378118709751047,0.9983344994907637,8.628167241284956,0.513095708003088,0.007496127913551811,0.5265633681616212,0.027719605817028026,0.9386612591327689,0.9983664962641509,8.77605613602702,0.5036559913174243,0.007496127913551811,0.5088167007925736,0.02681042416046994,0.9386037940050214,0.9983053685029929,8.480278346542892,0.5225354246887516,0.007496127913551811,0.8445670661631917,0.8497582600812804,0.8393758722451028,12182,3749924,3762106,0.003238079947773933,0,0.003238079947773933
70,0.07,0.5408926158392584,0.02448720765775219,0.9282216274198957,0.9983982113354936,7.727037369132262,0.4936638539362813,0.007235002969941073,0.5497417638399946,0.024878017431038464,0.9287686934305144,0.9984296649564173,7.85345376914278,0.4841486410322639,0.007235002969941073,0.5320434678385222,0.024096397884465916,0.9287113849331222,0.9983680405454413,7.600620969121745,0.5031790668402988,0.007235002969941073,0.8445670661631917,0.8497582600812804,0.8393758722451028,12182,3749924,3762106,0.003238079947773933,0,0.003238079947773933
80,0.08,0.5634542768018388,0.0223685389233459,0.9185574072961616,0.9984604145155839,7.043178460022984,0.4745062208675665,0.007009332551515911,0.5722613783153272,0.022710352595153725,0.9188739945420563,0.9984918959303788,7.15326722894159,0.4649332844398617,0.007009332551515911,0.5546471752883504,0.022026725251538072,0.9188169583444387,0.9984298899729078,6.93308969110438,0.4840791572952713,0.007009332551515911,0.8445670661631917,0.8497582600812804,0.8393758722451028,12182,3749924,3762106,0.003238079947773933,0,0.003238079947773933
90,0.09,0.584345756033492,0.02065649113136054,0.9084587196639329,0.9985176859105767,6.492730622594356,0.45676290545770104,0.006828989433581781,0.5930974042054367,0.020959470828153297,0.9089738440591602,0.9985495097959783,6.589971157838185,0.4471457096643553,0.006828989433581781,0.5755941078615474,0.020353511434567782,0.908917166986249,0.99848720999035,6.395490087350527,0.4663801012510468,0.006828989433581781,0.8445670661631917,0.8497582600812804,0.8393758722451028,12182,3749924,3762106,0.003238079947773933,0,0.003238079947773933
