,fpr,tpr,ppv,acc,npv,LR+,LR-,threshold,tpr_upper,ppv_upper,acc_upper,npv_upper,LR+_upper,LR-_upper,threshold_upper,tpr_lower,ppv_lower,acc_lower,npv_lower,LR+_lower,LR-_lower,threshold_lower,AUC,AUC_upper,AUC_lower,n_pos,n_neg,n_total,prevalence_in_data,prevalence_preset,prevalence
0,0.0,0.0,0.28086462719142125,0.9965471176008508,0.9965471176008509,89.19771939334689,1.0,inf,0.0,0.2935759449442963,0.9965471176008508,0.9965471176008509,97.1239792606385,1.0,0.010290926894551501,0.0,0.2681533094385462,0.9965471176008508,0.9965471176008509,81.27145952605528,1.0,0.010290926894551501,0.8603477472205969,0.8664333560147404,0.8542621384264534,8545,2466199,2474744,0.0034528823991491647,0,0.0034528823991491647
10,0.01,0.2937624341720304,0.09237284601095275,0.9870047972638786,0.997533062034148,29.376243417203042,0.7133712786141108,0.014971151801284038,0.30341995367570324,0.09512936189049472,0.9876293198424397,0.9975680071293129,30.341995367570323,0.7036162084083807,0.014971151801284038,0.2841049146683576,0.08961633013141079,0.9875626272842124,0.9975007404352717,28.410491466835758,0.7231263488198408,0.014971151801284038,0.8603477472205969,0.8664333560147404,0.8542621384264534,8545,2466199,2474744,0.0034528823991491647,0,0.0034528823991491647
20,0.02,0.38943826799297837,0.06320041391498499,0.9777276962788878,0.9978455043958177,19.47191339964892,0.623022175517369,0.010247422817258076,0.39977721145351547,0.06477230435277766,0.9779965589458426,0.997882371833554,19.988860572675772,0.6124722332106985,0.010247422817258076,0.3790993245324413,0.06162852347719232,0.9779251606340412,0.9978095785936738,18.954966226622062,0.6335721178240395,0.010247422817258076,0.8603477472205969,0.8664333560147404,0.8542621384264534,8545,2466199,2474744,0.0034528823991491647,0,0.0034528823991491647
30,0.03,0.4542840424642648,0.0498505992560052,0.9679756774842164,0.9980541450104011,15.142801415475493,0.5625937706553972,0.008122018273230603,0.4648410085172453,0.050951339981081846,0.9682557454095372,0.9980920559233476,15.494700283908177,0.5517103004976853,0.008122018273230603,0.4437270764112843,0.04874985853092855,0.9681828414849917,0.9980169299963908,14.79090254704281,0.573477240813109,0.008122018273230603,0.8603477472205969,0.8664333560147404,0.8542621384264534,8545,2466199,2474744,0.0034528823991491647,0,0.0034528823991491647
40,0.04,0.5057928613224107,0.04197266522287637,0.9581311575392579,0.9982189308257936,12.644821533060268,0.5147991027891555,0.006919789089060026,0.516393521493784,0.04281544156552804,0.9584682789982173,0.998257601643249,12.909838037344601,0.503756748443975,0.006919789089060026,0.4951922011510374,0.0411298888802247,0.9583950733323671,0.9981813537754269,12.379805028775936,0.525841457134336,0.006919789089060026,0.8603477472205969,0.8664333560147404,0.8542621384264534,8545,2466199,2474744,0.0034528823991491647,0,0.0034528823991491647
50,0.05,0.5408621025941096,0.03612559093076474,0.9482799028909656,0.9983281833900778,10.817242051882191,0.4833030499009373,0.006223489912556468,0.5514280125218625,0.03680582993909589,0.9486237777996427,0.998366637601927,11.028560250437248,0.47218103945067114,0.006223489912556468,0.5302961926663567,0.0354453519224336,0.9485508121108016,0.9982898229710913,10.605923853327134,0.4944250603512034,0.006223489912556468,0.8603477472205969,0.8664333560147404,0.8542621384264534,8545,2466199,2474744,0.0034528823991491647,0,0.0034528823991491647
60,0.06,0.5721474546518431,0.03198298475841383,0.9384849503625425,0.9984250744705769,9.535790910864053,0.45516228228527333,0.005650177323883719,0.5826378801208637,0.032550649126763614,0.9387660706261467,0.998463963553045,9.71063133534773,0.44400225519057057,0.005650177323883719,0.5616570291828226,0.03141532039006405,0.9386936262152236,0.9983868713510168,9.360950486380377,0.46632230937997604,0.005650177323883719,0.8603477472205969,0.8664333560147404,0.8542621384264534,8545,2466199,2474744,0.0034528823991491647,0,0.0034528823991491647
70,0.07,0.5978466939730837,0.028741330927303868,0.9286992917247198,0.9985038214736102,8.540667056758338,0.43242290970636166,0.005259899265658652,0.6082430895341463,0.029226774116975097,0.9288890112270478,0.9985425815713982,8.689186993344947,0.4212439897482298,0.005259899265658652,0.587450298412021,0.02825588773763264,0.928817216164553,0.9984653467088256,8.392147120171728,0.4436018296644936,0.005259899265658652,0.8603477472205969,0.8664333560147404,0.8542621384264534,8545,2466199,2474744,0.0034528823991491647,0,0.0034528823991491647
80,0.08,0.6220362785254535,0.026233803386003944,0.9189278567803376,0.9985785531794434,7.775453481568169,0.4108301320375505,0.004957836945909917,0.6323170326568781,0.026656013121001285,0.9190066645455259,0.9986171704119314,7.903962908210977,0.399655399286002,0.004957836945909917,0.6117555243940289,0.025811593651006607,0.9189356680755452,0.9985399529422243,7.6469440549253616,0.422004864789099,0.004957836945909917,0.8603477472205969,0.8664333560147404,0.8542621384264534,8545,2466199,2474744,0.0034528823991491647,0,0.0034528823991491647
90,0.09,0.6456992393212404,0.024255227360150577,0.9086739880973547,0.9986522128714558,7.174435992458227,0.3893414952513842,0.004712536328533039,0.655840530145416,0.024626939787655427,0.909122417239962,0.9986913197248727,7.287117001615734,0.37819721962042196,0.004712536328533039,0.6355579484970648,0.023883514932645726,0.9090523838707791,0.9986143012619868,7.0617549833007205,0.4004857708823463,0.004712536328533039,0.8603477472205969,0.8664333560147404,0.8542621384264534,8545,2466199,2474744,0.0034528823991491647,0,0.0034528823991491647
