,fpr,tpr,ppv,acc,npv,LR+,LR-,threshold,tpr_upper,ppv_upper,acc_upper,npv_upper,LR+_upper,LR-_upper,threshold_upper,tpr_lower,ppv_lower,acc_lower,npv_lower,LR+_lower,LR-_lower,threshold_lower,AUC,AUC_upper,AUC_lower,n_pos,n_neg,n_total,prevalence_in_data,prevalence_preset,prevalence
0,0.0,0.0,0.6545988651840384,0.9651519375522721,0.9651519375522721,43.988347786093655,1.0,inf,0.0,0.7416717685176498,0.9651519375522721,0.9651519375522721,58.46207754895164,1.0,0.04606723235408966,0.0,0.5675259618504269,0.9651519375522721,0.9651519375522721,29.514618023235673,1.0,0.04606723235408966,0.8959976000000001,0.913906183196583,0.878089016803417,625,17310,17935,0.03484806244772791,0,0.03484806244772791
10,0.01,0.27999999999999997,0.5007348032013109,0.9649623640925564,0.9744073082834401,28.0,0.7272727272727273,0.07045665248233157,0.3152008658587128,0.532289254545096,0.9664845576337717,0.9756332531341109,31.520086585871283,0.6917162971124112,0.07045665248233157,0.24479913414128712,0.4691803518575258,0.9640311936904546,0.9731953428859247,24.479913414128713,0.7628291574330432,0.07045665248233157,0.8959976000000001,0.913906183196583,0.878089016803417,625,17310,17935,0.03484806244772791,0,0.03484806244772791
20,0.02,0.3864888888888889,0.410007346955068,0.9587646749062975,0.9778853827776113,19.324444444444445,0.626031746031746,0.05014392916620474,0.42466465885453253,0.4339580178495925,0.9606476393523325,0.9792428213791131,21.233232942726627,0.5870768787198648,0.05014392916620474,0.34831311892324524,0.3860566760605436,0.9579869361208269,0.9765527686885633,17.41565594616226,0.6649866133436273,0.05014392916620474,0.8959976000000001,0.913906183196583,0.878089016803417,625,17310,17935,0.03484806244772791,0,0.03484806244772791
30,0.03,0.46592,0.35870115102294525,0.952930025090605,0.9805190888185823,15.530666666666665,0.55059793814433,0.040420755037405234,0.5050281179635223,0.3780410577438473,0.9537966308183552,0.9819089831945537,16.834270598784077,0.5102802907592554,0.040420755037405234,0.42681188203647763,0.33936124430204323,0.9510709465443433,0.9791099321612959,14.227062734549255,0.5909155855294045,0.040420755037405234,0.8959976000000001,0.913906183196583,0.878089016803417,625,17310,17935,0.03484806244772791,0,0.03484806244772791
40,0.04,0.5335384615384616,0.3246716750699214,0.9449422058287407,0.9827628034200763,13.33846153846154,0.48589743589743584,0.03335953301592369,0.5726494568862763,0.34076349276675605,0.9465015840844117,0.9841812893955225,14.316236422156909,0.44515681574346216,0.03335953301592369,0.49442746619064687,0.30857985737308674,0.9437756992678648,0.9813398713824879,12.360686654766171,0.5266380560514095,0.03335953301592369,0.8959976000000001,0.913906183196583,0.878089016803417,625,17310,17935,0.03484806244772791,0,0.03484806244772791
50,0.05,0.58496,0.2966997022211134,0.9371285196543073,0.9844718204386577,11.699200000000001,0.43688421052631576,0.02868186214589836,0.623589238272949,0.31049222251817327,0.9386252173917253,0.9858956740231365,12.47178476545898,0.3962218544495274,0.02868186214589836,0.5463307617270511,0.2829071819240536,0.9359329091764375,0.9830498242216623,10.926615234541021,0.47754656660310413,0.02868186214589836,0.8959976000000001,0.913906183196583,0.878089016803417,625,17310,17935,0.03484806244772791,0,0.03484806244772791
60,0.06,0.6230857142857144,0.2725024753954045,0.9287506471783027,0.9857281078243387,10.384761904761906,0.40097264437689967,0.02547515256744825,0.6610786872475483,0.2845994820375988,0.9302801326752004,0.9871490069494031,11.01797812079247,0.36055458803452317,0.02547515256744825,0.5850927413238804,0.26040546875321025,0.9276321696865027,0.9843130194475356,9.75154568873134,0.44139070071927616,0.02547515256744825,0.8959976000000001,0.913906183196583,0.878089016803417,625,17310,17935,0.03484806244772791,0,0.03484806244772791
70,0.07,0.6505142857142857,0.25108199675536813,0.9207057230475129,0.9866221084612381,9.293061224489795,0.3757910906298003,0.02305755693807588,0.68789531156352,0.2618941984138679,0.9215631206984778,0.9880279227083207,9.827075879478857,0.3355964391790108,0.02305755693807588,0.6131332598650514,0.24026979509686835,0.9189578080521693,0.9852025486247346,8.759046569500734,0.4159857420805899,0.02305755693807588,0.8959976000000001,0.913906183196583,0.878089016803417,625,17310,17935,0.03484806244772791,0,0.03484806244772791
80,0.08,0.6736,0.233013508904774,0.9114859213827711,0.9873586311037255,8.42,0.3547826086956522,0.021013623272224266,0.7103607358871419,0.24277199123537446,0.9126944778326994,0.9887605851004891,8.879509198589274,0.3148252870791936,0.021013623272224266,0.6368392641128581,0.22325502657417354,0.9101323969930604,0.9859476848494776,7.960490801410725,0.3947399303121108,0.021013623272224266,0.8959976000000001,0.913906183196583,0.878089016803417,625,17310,17935,0.03484806244772791,0,0.03484806244772791
90,0.09,0.6944,0.21778197796235502,0.9024254251463619,0.9880192627822673,7.715555555555556,0.3358241758241758,0.019220196332295825,0.7305151658327745,0.22664598142113634,0.9037453012905206,0.9894207013028337,8.116835175919718,0.2961371804035445,0.019220196332295825,0.6582848341672255,0.2089179745035737,0.9012282141820194,0.9866230510728804,7.314275935191395,0.37551117124480715,0.019220196332295825,0.8959976000000001,0.913906183196583,0.878089016803417,625,17310,17935,0.03484806244772791,0,0.03484806244772791
100,0.1,0.7111000000000001,0.20421504739502166,0.8933231112350154,0.9885446575417579,7.111000000000001,0.32099999999999995,0.017965450223306804,0.7466342531997641,0.2123391672555174,0.894655500878163,0.9899377242287318,7.466342531997641,0.2815174964447066,0.017965450223306804,0.6755657468002361,0.19609092753452595,0.8921789011290855,0.9871515431947103,6.755657468002361,0.36048250355529327,0.017965450223306804,0.8959976000000001,0.913906183196583,0.878089016803417,625,17310,17935,0.03484806244772791,0,0.03484806244772791
110,0.11,0.7269894736842105,0.19258484901582074,0.8837517546305128,0.9890491621983282,6.608995215311005,0.3067534003548196,0.016838594113514276,0.7619165183643631,0.20005808482484372,0.885536538833439,0.9904336210145087,6.9265138033123925,0.26750952992768184,0.016838594113514276,0.6920624290040579,0.18511161320679778,0.8831022591651819,0.9876614612204364,6.291476627309617,0.3459972707819574,0.016838594113514276,0.8959976000000001,0.913906183196583,0.878089016803417,625,17310,17935,0.03484806244772791,0,0.03484806244772791
120,0.12,0.7404631578947368,0.1821428438353408,0.874703485784436,0.9894889240696442,6.170526315789473,0.2949282296650718,0.016008158273272954,0.7748315581740551,0.1890593198693933,0.8763350835717193,0.990845936254497,6.4569296514504595,0.2558732293476646,0.016008158273272954,0.7060947576154185,0.1752263678012883,0.8739397392533949,0.9880847866642593,5.884122980128488,0.333983229982479,0.016008158273272954,0.8959976000000001,0.913906183196583,0.878089016803417,625,17310,17935,0.03484806244772791,0,0.03484806244772791
130,0.13,0.7539368421052631,0.1730932835236465,0.8656552169383593,0.9899286859409602,5.799514170040485,0.28283121597096195,0.015177722433031633,0.7877043384944926,0.17950575402781277,0.867132155648679,0.9912663620433116,6.059264142265327,0.24401800173046825,0.015177722433031633,0.7201693457160336,0.1666808130194802,0.8647786920029283,0.9885199331795137,5.539764197815643,0.3216444302114556,0.015177722433031633,0.8959976000000001,0.913906183196583,0.878089016803417,625,17310,17935,0.03484806244772791,0,0.03484806244772791
140,0.14,0.7674105263157894,0.16517503509144876,0.8566069480922825,0.9903684478122762,5.481503759398496,0.27045287637698906,0.014347286592790309,0.8005325593753846,0.17112810073479223,0.8579276749155069,0.9916950948150208,5.718089709824175,0.23193888444722724,0.014347286592790309,0.7342884932561943,0.15922196944810527,0.855619197562594,0.9889674260369717,5.244917808972816,0.30896686830675085,0.014347286592790309,0.8959976000000001,0.913906183196583,0.878089016803417,625,17310,17935,0.03484806244772791,0,0.03484806244772791
150,0.15,0.7808842105263158,0.1581884234182257,0.8475586792462059,0.9908082096835922,5.205894736842106,0.2577832817337461,0.013516850752548987,0.8133135602356811,0.1637198985758542,0.8487215486561082,0.9921323252634262,5.422090401571208,0.21963110560508103,0.013516850752548987,0.7484548608169506,0.1526569482605972,0.8464613486484859,0.9894278315156915,4.989699072113004,0.2959354578624111,0.013516850752548987,0.8959976000000001,0.913906183196583,0.878089016803417,625,17310,17935,0.03484806244772791,0,0.03484806244772791
