bin,n,cases,mean_pred,obs_rate,obs_rate_lo,obs_rate_hi,prob_min,prob_max
0,1667,0,0.000450323240495508,0.0,0.0,0.002299116292820198,0.00045032324049550814,0.00045032324049550814
25,1667,2,0.000450323240495508,0.0011997600479904018,0.000329079160666487,0.004364040452386897,0.00045032324049550814,0.00045032324049550814
24,1666,1,0.000450323240495508,0.0006002400960384153,0.00010596497495372046,0.0033922466605506383,0.00045032324049550814,0.00045032324049550814
23,1667,3,0.000450323240495508,0.001799640071985603,0.0006122246109514441,0.005277896662218531,0.00045032324049550814,0.00045032324049550814
21,1667,1,0.000450323240495508,0.0005998800239952009,0.00010590140396957615,0.0033902165489672143,0.00045032324049550814,0.00045032324049550814
20,1666,1,0.000450323240495508,0.0006002400960384153,0.00010596497495372046,0.0033922466605506383,0.00045032324049550814,0.00045032324049550814
19,1667,1,0.000450323240495508,0.0005998800239952009,0.00010590140396957615,0.0033902165489672143,0.00045032324049550814,0.00045032324049550814
18,1667,1,0.000450323240495508,0.0005998800239952009,0.00010590140396957615,0.0033902165489672143,0.00045032324049550814,0.00045032324049550814
17,1666,0,0.000450323240495508,0.0,0.0,0.002300493139873956,0.00045032324049550814,0.00045032324049550814
16,1667,1,0.000450323240495508,0.0005998800239952009,0.00010590140396957615,0.0033902165489672143,0.00045032324049550814,0.00045032324049550814
15,1666,1,0.000450323240495508,0.0006002400960384153,0.00010596497495372046,0.0033922466605506383,0.00045032324049550814,0.00045032324049550814
14,1667,0,0.000450323240495508,0.0,0.0,0.002299116292820198,0.00045032324049550814,0.00045032324049550814
13,1666,2,0.000450323240495508,0.0012004801920768306,0.00032927672423371324,0.004366653406901049,0.00045032324049550814,0.00045032324049550814
22,1666,0,0.000450323240495508,0.0,0.0,0.002300493139873956,0.00045032324049550814,0.00045032324049550814
11,1666,2,0.000450323240495508,0.0012004801920768306,0.00032927672423371324,0.004366653406901049,0.00045032324049550814,0.00045032324049550814
10,1667,2,0.000450323240495508,0.0011997600479904018,0.000329079160666487,0.004364040452386897,0.00045032324049550814,0.00045032324049550814
9,1667,1,0.000450323240495508,0.0005998800239952009,0.00010590140396957615,0.0033902165489672143,0.00045032324049550814,0.00045032324049550814
8,1666,1,0.000450323240495508,0.0006002400960384153,0.00010596497495372046,0.0033922466605506383,0.00045032324049550814,0.00045032324049550814
7,1667,1,0.000450323240495508,0.0005998800239952009,0.00010590140396957615,0.0033902165489672143,0.00045032324049550814,0.00045032324049550814
6,1666,2,0.000450323240495508,0.0012004801920768306,0.00032927672423371324,0.004366653406901049,0.00045032324049550814,0.00045032324049550814
5,1667,2,0.000450323240495508,0.0011997600479904018,0.000329079160666487,0.004364040452386897,0.00045032324049550814,0.00045032324049550814
4,1666,0,0.000450323240495508,0.0,0.0,0.002300493139873956,0.00045032324049550814,0.00045032324049550814
12,1667,2,0.000450323240495508,0.0011997600479904018,0.000329079160666487,0.004364040452386897,0.00045032324049550814,0.00045032324049550814
3,1667,2,0.000450323240495508,0.0011997600479904018,0.000329079160666487,0.004364040452386897,0.00045032324049550814,0.00045032324049550814
2,1666,0,0.000450323240495508,0.0,0.0,0.002300493139873956,0.00045032324049550814,0.00045032324049550814
1,1667,0,0.000450323240495508,0.0,0.0,0.002299116292820198,0.00045032324049550814,0.00045032324049550814
26,1666,0,0.00047557616961811736,0.0,0.0,0.002300493139873956,0.00045032324049550814,0.000494655569176506
32,1667,1,0.0004946555691765063,0.0005998800239952009,0.00010590140396957615,0.0033902165489672143,0.000494655569176506,0.000494655569176506
34,1667,2,0.0004946555691765063,0.0011997600479904018,0.000329079160666487,0.004364040452386897,0.000494655569176506,0.000494655569176506
33,1666,0,0.0004946555691765063,0.0,0.0,0.002300493139873956,0.000494655569176506,0.000494655569176506
31,1666,0,0.0004946555691765063,0.0,0.0,0.002300493139873956,0.000494655569176506,0.000494655569176506
29,1667,3,0.0004946555691765063,0.001799640071985603,0.0006122246109514441,0.005277896662218531,0.000494655569176506,0.000494655569176506
28,1666,1,0.0004946555691765063,0.0006002400960384153,0.00010596497495372046,0.0033922466605506383,0.000494655569176506,0.000494655569176506
27,1667,1,0.0004946555691765063,0.0005998800239952009,0.00010590140396957615,0.0033902165489672143,0.000494655569176506,0.000494655569176506
30,1667,0,0.0004946555691765063,0.0,0.0,0.002299116292820198,0.000494655569176506,0.000494655569176506
35,1666,2,0.0005200401501286886,0.0012004801920768306,0.00032927672423371324,0.004366653406901049,0.000494655569176506,0.0007363167798412828
37,1666,0,0.0007363167798412826,0.0,0.0,0.002300493139873956,0.0007363167798412828,0.0007363167798412828
36,1667,0,0.0007363167798412827,0.0,0.0,0.002299116292820198,0.0007363167798412828,0.0007363167798412828
38,1667,4,0.0007827861601675909,0.0023995200959808036,0.0009335099745966607,0.006153612958689908,0.0007363167798412828,0.0008049909438518816
46,1666,1,0.0008049909438518816,0.0006002400960384153,0.00010596497495372046,0.0033922466605506383,0.0008049909438518816,0.0008049909438518816
51,1666,1,0.0008049909438518816,0.0006002400960384153,0.00010596497495372046,0.0033922466605506383,0.0008049909438518816,0.0008049909438518816
50,1667,1,0.0008049909438518816,0.0005998800239952009,0.00010590140396957615,0.0033902165489672143,0.0008049909438518816,0.0008049909438518816
48,1666,2,0.0008049909438518816,0.0012004801920768306,0.00032927672423371324,0.004366653406901049,0.0008049909438518816,0.0008049909438518816
47,1667,2,0.0008049909438518816,0.0011997600479904018,0.000329079160666487,0.004364040452386897,0.0008049909438518816,0.0008049909438518816
45,1667,2,0.0008049909438518816,0.0011997600479904018,0.000329079160666487,0.004364040452386897,0.0008049909438518816,0.0008049909438518816
49,1667,4,0.0008049909438518816,0.0023995200959808036,0.0009335099745966607,0.006153612958689908,0.0008049909438518816,0.0008049909438518816
43,1667,1,0.0008049909438518816,0.0005998800239952009,0.00010590140396957615,0.0033902165489672143,0.0008049909438518816,0.0008049909438518816
42,1666,2,0.0008049909438518816,0.0012004801920768306,0.00032927672423371324,0.004366653406901049,0.0008049909438518816,0.0008049909438518816
41,1667,2,0.0008049909438518816,0.0011997600479904018,0.000329079160666487,0.004364040452386897,0.0008049909438518816,0.0008049909438518816
44,1666,1,0.0008049909438518816,0.0006002400960384153,0.00010596497495372046,0.0033922466605506383,0.0008049909438518816,0.0008049909438518816
40,1666,1,0.0008049909438518816,0.0006002400960384153,0.00010596497495372046,0.0033922466605506383,0.0008049909438518816,0.0008049909438518816
39,1667,0,0.0008049909438518816,0.0,0.0,0.002299116292820198,0.0008049909438518816,0.0008049909438518816
52,1667,4,0.000822638186957952,0.0023995200959808036,0.0009335099745966607,0.006153612958689908,0.0008049909438518816,0.0008309098462816784
58,1667,0,0.0008309098462816784,0.0,0.0,0.002299116292820198,0.0008309098462816784,0.0008309098462816784
57,1666,3,0.0008309098462816784,0.001800720288115246,0.0006125922036420103,0.0052810564231231556,0.0008309098462816784,0.0008309098462816784
56,1667,0,0.0008309098462816784,0.0,0.0,0.002299116292820198,0.0008309098462816784,0.0008309098462816784
54,1667,1,0.0008309098462816784,0.0005998800239952009,0.00010590140396957615,0.0033902165489672143,0.0008309098462816784,0.0008309098462816784
53,1666,0,0.0008309098462816784,0.0,0.0,0.002300493139873956,0.0008309098462816784,0.0008309098462816784
55,1666,0,0.0008309098462816784,0.0,0.0,0.002300493139873956,0.0008309098462816784,0.0008309098462816784
59,1667,2,0.0010336092654233263,0.0011997600479904018,0.000329079160666487,0.004364040452386897,0.0008309098462816784,0.001239989666752777
60,1666,1,0.0012399896667527768,0.0006002400960384153,0.00010596497495372046,0.0033922466605506383,0.001239989666752777,0.001239989666752777
61,1667,0,0.0012399896667527768,0.0,0.0,0.002299116292820198,0.001239989666752777,0.001239989666752777
62,1666,2,0.0012399896667527768,0.0012004801920768306,0.00032927672423371324,0.004366653406901049,0.001239989666752777,0.001239989666752777
63,1667,1,0.001350452002711609,0.0005998800239952009,0.00010590140396957615,0.0033902165489672143,0.001239989666752777,0.0014506769825918763
70,1667,5,0.001450676982591876,0.002999400119976005,0.001281824061458962,0.007002300531944198,0.0014506769825918763,0.0014506769825918763
73,1666,2,0.001450676982591876,0.0012004801920768306,0.00032927672423371324,0.004366653406901049,0.0014506769825918763,0.0014506769825918763
71,1666,4,0.001450676982591876,0.0024009603841536613,0.0009340705352318844,0.0061572965871636845,0.0014506769825918763,0.0014506769825918763
