,model,group,duration,survival,survival_ci_lower,survival_ci_upper,n_at_risk,n_events,n_censored,cumulative_incidence,mm
0,Males2550,Crossedthreshold,0.0,1.0,1.0,1.0,1322,0,0,0.0,Crossedthreshold
1,Males2550,Crossedthreshold,0.001,0.90695915279879,0.889991397857161,0.9214261723195468,1322,123,0,0.09304084720121,Crossedthreshold
2,Males2550,Crossedthreshold,1.0,0.83963691376702,0.8187265401444795,0.858347439502513,1199,89,0,0.16036308623298,Crossedthreshold
3,Males2550,Crossedthreshold,2.0,0.7798789712556737,0.7565628737603065,0.8012630502705146,1110,79,0,0.2201210287443262,Crossedthreshold
4,Males2550,Crossedthreshold,3.0,0.7284417549167932,0.7036102313383398,0.7515733748596737,1031,68,0,0.2715582450832068,Crossedthreshold
5,Males2550,Crossedthreshold,4.0,0.678517397881997,0.6526052312487594,0.7029567313612448,963,66,0,0.3214826021180029,Crossedthreshold
6,Males2550,Crossedthreshold,5.0,0.6316187594553706,0.6049936590613214,0.6569861999745124,897,62,0,0.3683812405446294,Crossedthreshold
7,Males2550,Crossedthreshold,6.0,0.5892586989409987,0.5622180085199882,0.6152378454618593,835,56,0,0.4107413010590013,Crossedthreshold
8,Males2550,Crossedthreshold,7.0,0.5559757942511347,0.5287519847253389,0.5822934659960552,779,44,0,0.4440242057488652,Crossedthreshold
9,Males2550,Crossedthreshold,8.0,0.5211800302571863,0.4938953387023689,0.5477224266740299,735,46,0,0.4788199697428137,Crossedthreshold
10,Males2550,Crossedthreshold,9.0,0.4886535552193647,0.4614308478541845,0.5152885256113183,689,43,0,0.5113464447806353,Crossedthreshold
11,Males2550,Crossedthreshold,10.0,0.4591527987897127,0.4320854977877041,0.4857738375957779,646,39,0,0.5408472012102872,Crossedthreshold
12,Males2550,Crossedthreshold,11.0,0.294251134644478,0.2698958256519315,0.3189810861026953,607,218,0,0.705748865355522,Crossedthreshold
13,Males2550,Crossedthreshold,12.0,0.294251134644478,0.2698958256519315,0.3189810861026953,389,0,389,0.705748865355522,Crossedthreshold
14,Males2550,Nevercrossedthreshold,0.0,1.0,1.0,1.0,75696,0,0,0.0,Nevercrossedthreshold
15,Males2550,Nevercrossedthreshold,0.001,0.9973182202494196,0.9969233378580794,0.9976624798427488,75696,203,0,0.0026817797505803,Nevercrossedthreshold
16,Males2550,Nevercrossedthreshold,1.0,0.9950195518917778,0.994492017910908,0.9954966750972531,75493,174,0,0.0049804481082221,Nevercrossedthreshold
17,Males2550,Nevercrossedthreshold,2.0,0.992707672796449,0.9920757589651712,0.993289365625012,75319,175,0,0.0072923272035509,Nevercrossedthreshold
18,Males2550,Nevercrossedthreshold,3.0,0.9907921158317484,0.9900860444764532,0.9914481182586315,75144,145,0,0.0092078841682516,Nevercrossedthreshold
19,Males2550,Nevercrossedthreshold,4.0,0.988889769604735,0.9881175584050976,0.9896120608420982,74999,144,0,0.011110230395265,Nevercrossedthreshold
20,Males2550,Nevercrossedthreshold,5.0,0.986855316000846,0.9860185737997004,0.9876422963063718,74855,154,0,0.0131446839991539,Nevercrossedthreshold
21,Males2550,Nevercrossedthreshold,6.0,0.9851247093637704,0.9842370641642264,0.985962726511154,74701,131,0,0.0148752906362294,Nevercrossedthreshold
22,Males2550,Nevercrossedthreshold,7.0,0.9835394208412606,0.9826078039711328,0.9844215319360328,74570,120,0,0.0164605791587394,Nevercrossedthreshold
