,model,group,duration,survival,survival_ci_lower,survival_ci_upper,n_at_risk,n_events,n_censored,cumulative_incidence,mm
23,Males2550,Nevercrossedthreshold,8.0,0.9822711900232504,0.9813059763369818,0.98318699559233,74450,96,0,0.0177288099767495,Nevercrossedthreshold
24,Males2550,Nevercrossedthreshold,9.0,0.981095434369055,0.9801001899304624,0.982041361128386,74354,89,0,0.018904565630945,Nevercrossedthreshold
25,Males2550,Nevercrossedthreshold,10.0,0.9795629887972944,0.9785300530773722,0.9805467246001052,74265,116,0,0.0204370112027056,Nevercrossedthreshold
26,Males2550,Nevercrossedthreshold,11.0,0.945875607693934,0.9442402359968154,0.9474643612939996,74149,2550,0,0.0541243923060661,Nevercrossedthreshold
27,Males2550,Nevercrossedthreshold,12.0,0.945875607693934,0.9442402359968154,0.9474643612939996,71599,0,71599,0.0541243923060661,Nevercrossedthreshold
28,Females2550,Crossedthreshold,0.0,1.0,1.0,1.0,2116,0,0,0.0,Crossedthreshold
29,Females2550,Crossedthreshold,0.001,0.8790170132325138,0.8643583353502587,0.8921916573286122,2116,256,0,0.1209829867674862,Crossedthreshold
30,Females2550,Crossedthreshold,1.0,0.7911153119092628,0.7731664188778667,0.8078253749444434,1860,186,0,0.2088846880907372,Crossedthreshold
31,Females2550,Crossedthreshold,2.0,0.7173913043478257,0.6976884410968056,0.7360630781147202,1674,156,0,0.2826086956521743,Crossedthreshold
32,Females2550,Crossedthreshold,3.0,0.6469754253308126,0.6261996055021541,0.6669209696646298,1518,149,0,0.3530245746691873,Crossedthreshold
33,Females2550,Crossedthreshold,4.0,0.5902646502835538,0.5689822836037574,0.6108805057553927,1369,120,0,0.4097353497164462,Crossedthreshold
34,Females2550,Crossedthreshold,5.0,0.527882797731569,0.5063772194199073,0.5489044837055344,1249,132,0,0.472117202268431,Crossedthreshold
35,Females2550,Crossedthreshold,6.0,0.4725897920604913,0.4511669199808546,0.49369319754926,1117,117,0,0.5274102079395087,Crossedthreshold
36,Females2550,Crossedthreshold,7.0,0.4300567107750471,0.4088764301087582,0.4510459357442016,1000,90,0,0.5699432892249529,Crossedthreshold
37,Females2550,Crossedthreshold,8.0,0.3884688090737238,0.3676802509775381,0.409193770295353,910,88,0,0.6115311909262762,Crossedthreshold
38,Females2550,Crossedthreshold,9.0,0.3440453686200377,0.3238526190571755,0.3643131164145129,822,94,0,0.6559546313799622,Crossedthreshold
39,Females2550,Crossedthreshold,10.0,0.2963137996219282,0.2769824116062833,0.3158725129289502,728,101,0,0.7036862003780717,Crossedthreshold
40,Females2550,Crossedthreshold,11.0,0.0274102079395084,0.02107193814841,0.035021849062441,627,569,0,0.9725897920604916,Crossedthreshold
41,Females2550,Crossedthreshold,12.0,0.0274102079395084,0.02107193814841,0.035021849062441,58,0,58,0.9725897920604916,Crossedthreshold
42,Females2550,Nevercrossedthreshold,0.0,1.0,1.0,1.0,12345,0,0,0.0,Nevercrossedthreshold
43,Females2550,Nevercrossedthreshold,0.001,0.9809639530174162,0.9783958780894156,0.9832293830784702,12345,235,0,0.0190360469825837,Nevercrossedthreshold
44,Females2550,Nevercrossedthreshold,1.0,0.9608748481166468,0.95730404027567,0.964152635711791,12110,248,0,0.0391251518833533,Nevercrossedthreshold
45,Females2550,Nevercrossedthreshold,2.0,0.9437019036046986,0.9394903514608542,0.9476285573603496,11862,212,0,0.0562980963953013,Nevercrossedthreshold
46,Females2550,Nevercrossedthreshold,3.0,0.9292021061158364,0.9245360060360338,0.9335901546122553,11650,179,0,0.0707978938841636,Nevercrossedthreshold
47,Females2550,Nevercrossedthreshold,4.0,0.9135682462535428,0.9084738246571084,0.9183920011835688,11471,193,0,0.086431753746457,Nevercrossedthreshold
48,Females2550,Nevercrossedthreshold,5.0,0.8976913730255163,0.8922120111698096,0.9029075763314194,11278,196,0,0.1023086269744837,Nevercrossedthreshold
49,Females2550,Nevercrossedthreshold,6.0,0.8836776022681244,0.8778920827298223,0.8892065997893658,11082,173,0,0.1163223977318755,Nevercrossedthreshold
50,Females2550,Nevercrossedthreshold,7.0,0.8695018226002427,0.8634334034599594,0.8753204433784416,10909,175,0,0.1304981773997573,Nevercrossedthreshold
51,Females2550,Nevercrossedthreshold,8.0,0.8567841231267712,0.850481766514395,0.8628427231174592,10734,157,0,0.1432158768732288,Nevercrossedthreshold
52,Females2550,Nevercrossedthreshold,9.0,0.8453624949372208,0.8388642549303065,0.8516224125842949,10577,141,0,0.1546375050627791,Nevercrossedthreshold
53,Females2550,Nevercrossedthreshold,10.0,0.8341838801134059,0.8275057271016506,0.8406290372794033,10436,138,0,0.165816119886594,Nevercrossedthreshold
54,Females2550,Nevercrossedthreshold,11.0,0.5429728635074929,0.5341405703042174,0.5517145149370376,10298,3595,0,0.4570271364925071,Nevercrossedthreshold
55,Females2550,Nevercrossedthreshold,12.0,0.5429728635074929,0.5341405703042174,0.5517145149370376,6703,0,6703,0.4570271364925071,Nevercrossedthreshold
56,Males5075,Crossedthreshold,0.0,1.0,1.0,1.0,587,0,0,0.0,Crossedthreshold
57,Males5075,Crossedthreshold,0.001,0.9216354344122653,0.8967684920044446,0.9407105258443754,587,46,0,0.0783645655877348,Crossedthreshold
58,Males5075,Crossedthreshold,1.0,0.8449744463373084,0.8130841547196773,0.8718568815475553,541,45,0,0.1550255536626915,Crossedthreshold
59,Males5075,Crossedthreshold,2.0,0.7853492333901191,0.749876802366805,0.8164180863405749,496,35,0,0.2146507666098809,Crossedthreshold
60,Males5075,Crossedthreshold,3.0,0.732538330494037,0.6947739443419622,0.7664365829356864,461,31,0,0.2674616695059629,Crossedthreshold
61,Males5075,Crossedthreshold,4.0,0.6780238500851786,0.6385747414326772,0.7141655431084925,430,32,0,0.3219761499148214,Crossedthreshold
62,Males5075,Crossedthreshold,5.0,0.6405451448040884,0.6002842683530061,0.6778856345458194,398,22,0,0.3594548551959116,Crossedthreshold
63,Males5075,Crossedthreshold,6.0,0.6013628620102212,0.5605278526021735,0.6396850570985115,376,23,0,0.3986371379897788,Crossedthreshold
64,Males5075,Crossedthreshold,7.0,0.5655877342419077,0.5244600980565565,0.6045776484405002,353,21,0,0.4344122657580923,Crossedthreshold
65,Males5075,Crossedthreshold,8.0,0.5161839863713795,0.4750014621639971,0.5557520447217125,332,29,0,0.4838160136286205,Crossedthreshold
66,Males5075,Crossedthreshold,9.0,0.4923339011925042,0.4512672853729071,0.5320411045282119,303,14,0,0.5076660988074958,Crossedthreshold
67,Males5075,Crossedthreshold,10.0,0.4480408858603066,0.4074352709605031,0.4877655524387781,289,26,0,0.5519591141396933,Crossedthreshold
68,Males5075,Crossedthreshold,11.0,0.260647359454855,0.2258291653211963,0.2967055247382164,263,110,0,0.7393526405451449,Crossedthreshold
69,Males5075,Crossedthreshold,12.0,0.260647359454855,0.2258291653211963,0.2967055247382164,153,0,153,0.7393526405451449,Crossedthreshold
70,Males5075,Nevercrossedthreshold,0.0,1.0,1.0,1.0,36602,0,0,0.0,Nevercrossedthreshold
71,Males5075,Nevercrossedthreshold,0.001,0.9982241407573356,0.9977359765069772,0.9986071214778208,36602,65,0,0.0017758592426644,Nevercrossedthreshold
72,Males5075,Nevercrossedthreshold,1.0,0.9968580951860552,0.9962292211994802,0.9973822261492326,36537,50,0,0.0031419048139448,Nevercrossedthreshold
73,Males5075,Nevercrossedthreshold,2.0,0.9957652587290312,0.9950450407024056,0.996380981372246,36487,40,0,0.0042347412709689,Nevercrossedthreshold
74,Males5075,Nevercrossedthreshold,3.0,0.9940986831320696,0.9932596447269418,0.9948335499530836,36447,61,0,0.0059013168679302,Nevercrossedthreshold
75,Males5075,Nevercrossedthreshold,4.0,0.9925960330036612,0.9916638093650104,0.9934243533832708,36386,55,0,0.0074039669963388,Nevercrossedthreshold
76,Males5075,Nevercrossedthreshold,5.0,0.991366591989508,0.9903651023842788,0.9922643897194564,36331,45,0,0.0086334080104919,Nevercrossedthreshold
77,Males5075,Nevercrossedthreshold,6.0,0.9901644718867816,0.9890999883647368,0.9911254659733266,36286,44,0,0.0098355281132185,Nevercrossedthreshold
78,Males5075,Nevercrossedthreshold,7.0,0.9891809190754596,0.988067785875761,0.990190726341292,36242,36,0,0.0108190809245403,Nevercrossedthreshold
79,Males5075,Nevercrossedthreshold,8.0,0.988224687175564,0.987066398047377,0.9892798079863098,36206,35,0,0.0117753128244358,Nevercrossedthreshold
80,Males5075,Nevercrossedthreshold,9.0,0.986967925249986,0.9857530845118876,0.9880798033095683,36171,46,0,0.013032074750014,Nevercrossedthreshold
81,Males5075,Nevercrossedthreshold,10.0,0.9859024097043882,0.984641807137162,0.98706022291058,36125,39,0,0.0140975902956117,Nevercrossedthreshold
82,Males5075,Nevercrossedthreshold,11.0,0.9496475602426092,0.9473581913725376,0.9518399149775932,36086,1327,0,0.0503524397573906,Nevercrossedthreshold
83,Males5075,Nevercrossedthreshold,12.0,0.9496475602426092,0.9473581913725376,0.9518399149775932,34759,0,34759,0.0503524397573906,Nevercrossedthreshold
84,Females5075,Crossedthreshold,0.0,1.0,1.0,1.0,722,0,0,0.0,Crossedthreshold
85,Females5075,Crossedthreshold,0.001,0.9349030470914134,0.91430224003361,0.950685331994876,722,47,0,0.0650969529085866,Crossedthreshold
86,Females5075,Crossedthreshold,1.0,0.8725761772853189,0.8460013506739743,0.8948524333556657,675,45,0,0.1274238227146811,Crossedthreshold
87,Females5075,Crossedthreshold,2.0,0.813019390581718,0.782618173389635,0.8396117637788467,630,43,0,0.1869806094182819,Crossedthreshold
88,Females5075,Crossedthreshold,3.0,0.7659279778393355,0.7333008438032819,0.7951343710556888,587,34,0,0.2340720221606644,Crossedthreshold
89,Females5075,Crossedthreshold,4.0,0.7229916897506931,0.6888021857026297,0.7541160974462014,553,31,0,0.2770083102493069,Crossedthreshold
90,Females5075,Crossedthreshold,5.0,0.682825484764543,0.6475147255800412,0.7154058562768798,522,29,0,0.317174515235457,Crossedthreshold
91,Females5075,Crossedthreshold,6.0,0.6315789473684215,0.5952578344852422,0.6656000715153997,493,37,0,0.3684210526315785,Crossedthreshold
92,Females5075,Crossedthreshold,7.0,0.5941828254847648,0.5573962941470677,0.6289861673699936,456,27,0,0.4058171745152352,Crossedthreshold
93,Females5075,Crossedthreshold,8.0,0.554016620498615,0.5169703498164245,0.5894228761809118,429,29,0,0.445983379501385,Crossedthreshold
94,Females5075,Crossedthreshold,9.0,0.5124653739612188,0.4754033088089731,0.5482459988283657,400,30,0,0.4875346260387811,Crossedthreshold
95,Females5075,Crossedthreshold,10.0,0.4681440443213298,0.4313443979191901,0.5040492793033046,370,32,0,0.5318559556786702,Crossedthreshold
96,Females5075,Crossedthreshold,11.0,0.2631578947368422,0.2315844855129163,0.2957151422348027,338,148,0,0.7368421052631577,Crossedthreshold
97,Females5075,Crossedthreshold,12.0,0.2631578947368422,0.2315844855129163,0.2957151422348027,190,0,190,0.7368421052631577,Crossedthreshold
98,Females5075,Nevercrossedthreshold,0.0,1.0,1.0,1.0,44461,0,0,0.0,Nevercrossedthreshold
99,Females5075,Nevercrossedthreshold,0.001,0.9982456534940736,0.9978102210538964,0.9985945621919704,44461,78,0,0.0017543465059263,Nevercrossedthreshold
100,Females5075,Nevercrossedthreshold,1.0,0.9966262567193722,0.9960419151176184,0.9971244551251498,44383,72,0,0.0033737432806277,Nevercrossedthreshold
101,Females5075,Nevercrossedthreshold,2.0,0.9952767594071202,0.9945945749798084,0.995873028364073,44311,60,0,0.0047232405928797,Nevercrossedthreshold
102,Females5075,Nevercrossedthreshold,3.0,0.9941746699354482,0.9934227012778885,0.99484089097743,44251,49,0,0.0058253300645517,Nevercrossedthreshold
103,Females5075,Nevercrossedthreshold,4.0,0.992667731270102,0.9918304304754736,0.9934195018528774,44202,67,0,0.007332268729898,Nevercrossedthreshold
104,Females5075,Nevercrossedthreshold,5.0,0.9913407255797216,0.9904354442489244,0.9921606618387352,44135,59,0,0.0086592744202783,Nevercrossedthreshold
105,Females5075,Nevercrossedthreshold,6.0,0.9901711612424364,0.9892102742873564,0.9910468634079193,44076,52,0,0.0098288387575634,Nevercrossedthreshold
106,Females5075,Nevercrossedthreshold,7.0,0.9891590382582486,0.988152722371812,0.990080306586999,44024,45,0,0.0108409617417514,Nevercrossedthreshold
107,Females5075,Nevercrossedthreshold,8.0,0.9878545241897392,0.9867927735694464,0.988831402697429,43979,58,0,0.0121454758102608,Nevercrossedthreshold
108,Females5075,Nevercrossedthreshold,9.0,0.986482535255616,0.9853657202029098,0.9875146614581792,43921,61,0,0.0135174647443839,Nevercrossedthreshold
109,Females5075,Nevercrossedthreshold,10.0,0.9856503452463956,0.9845015404955756,0.98671457183511,43860,37,0,0.0143496547536042,Nevercrossedthreshold
110,Females5075,Nevercrossedthreshold,11.0,0.9510807224308948,0.949035227030812,0.95304616660692,43823,1537,0,0.0489192775691053,Nevercrossedthreshold
111,Females5075,Nevercrossedthreshold,12.0,0.9510807224308948,0.949035227030812,0.95304616660692,42286,0,42286,0.0489192775691053,Nevercrossedthreshold
