,x,P_event_within_k_given_crossed_mean,P_no_event_within_k_given_never_crossed_mean,P_crossed_given_event_within_k_mean,P_never_crossed_given_no_event_within_k_mean,P_event_within_k_given_crossed_lo,P_no_event_within_k_given_never_crossed_lo,P_crossed_given_event_within_k_lo,P_never_crossed_given_no_event_within_k_lo,P_event_within_k_given_crossed_hi,P_no_event_within_k_given_never_crossed_hi,P_crossed_given_event_within_k_hi,P_never_crossed_given_no_event_within_k_hi
0,1,0.16292428767527262,0.9873446879784629,0.4149206970486998,0.9585941392641899,0.12905399011434415,0.9696792000298495,0.3604231945583579,0.9037493547256366,0.19679458523620108,1.0050101759270762,0.46941819953904174,1.0134389238027433
1,2,0.22609027510616597,0.9818628986343249,0.41184724660896177,0.9614009548341306,0.185715398148672,0.9563869102968499,0.3577943179473231,0.9102788840469128,0.26646515206365995,1.0073388869717999,0.46590017527060046,1.0125230256213484
2,4,0.33255060299964445,0.9719304450330104,0.39377359887742563,0.9664822173906705,0.2769425966478606,0.9329823321007394,0.3460927627135115,0.9223554299384092,0.3881586093514283,1.0108785579652815,0.44145443504133974,1.010609004842932
3,8,0.5050376384497738,0.9537836311288316,0.3784646546016805,0.9753436635237356,0.43208558631622834,0.8890599681196286,0.33494326303432104,0.9437045393713603,0.5779896905833193,1.0185072941380346,0.42198604616903995,1.0069827876761108
4,10,0.5820871178516808,0.946324905965371,0.3746593449977643,0.9798999304065501,0.500605148769006,0.8715067958441571,0.3310321827784255,0.9550364834150236,0.6635690869343556,1.0211430160865849,0.41828650721710314,1.0047633773980766
